amount_tsh,funder,gps_height,installer,longitude,latitude,wpt_name,basin,region,population,public_meeting,scheme_management,permit,construction_year,extraction_type,management_group,payment_type,water_quality_2,quantity_group,source_class,waterpoint_type_group,status_group
0,6,1399,6,34.6987661,-2.14746569,2,4,9,280,1,1,1,2010,3,4,3,0,1,1,0,0
25,6,686,6,37.46066446,-3.82132853,6,5,8,250,1,0,1,2009,3,4,6,0,0,1,0,0
0,6,263,6,38.48616088,-11.15529772,6,7,12,58,1,0,1,1986,14,4,3,0,2,0,0,1
0,6,0,6,31.13084671,-1.82535885,1,4,4,0,1,2,1,2004,3,1,3,0,3,1,0,0
20,6,0,1,39.1727956,-4.76558728,6,5,20,1,1,0,1,2009,14,4,6,1,0,2,0,0
0,6,0,6,33.36240982,-3.76636472,6,0,17,0,1,0,1,1994,15,4,3,0,0,0,1,1
0,4,0,1,32.62061707,-4.22619802,6,3,17,0,1,2,1,1994,8,4,0,2,0,0,1,1
0,6,0,6,32.71110001,-5.14671181,6,3,19,0,1,0,1,1994,4,4,3,1,3,0,1,1
0,6,0,6,30.62699053,-1.25705061,6,4,4,0,1,2,1,2004,8,4,3,0,0,0,1,0
0,6,62,6,39.20951812,-7.03413939,6,8,14,345,1,3,0,2011,14,3,3,1,0,0,2,0
200,2,1062,6,35.77025785,-10.57417468,6,1,16,250,1,4,0,1987,15,4,2,0,1,0,1,0
0,6,0,6,33.79810612,-3.2901937999999995,6,0,17,0,1,4,0,2004,8,4,1,0,0,0,1,0
0,6,1368,6,37.09257412,-3.1817833,6,5,6,1,1,5,1,2009,3,4,5,0,0,0,0,0
0,6,0,6,34.36407268,-3.62933335,6,0,17,0,1,4,1,2004,8,4,3,0,0,0,1,0
0,6,1645,1,31.44412134,-8.27496163,6,3,15,200,1,0,0,1991,15,4,3,0,0,0,1,0
500,6,1703,1,34.64243884,-9.10618458,6,6,3,35,1,6,1,1978,3,4,5,0,2,1,0,1
0,6,1656,1,34.56926611,-9.08551497,6,6,3,50,1,6,1,1978,3,4,2,0,2,1,0,1
500,6,672,6,37.94002949,-4.12559468,6,5,6,210,1,7,1,2011,3,4,5,0,0,1,0,0
0,6,1645,1,29.74706567,-4.49556758,6,3,5,156,0,0,1,2009,3,4,0,0,0,0,3,0
500,6,200,6,39.37077651,-9.94253166,6,7,7,260,0,0,0,2011,4,4,5,0,0,0,1,0
0,3,0,1,31.10425712,-1.73536124,6,4,4,0,1,2,1,2004,8,4,3,0,0,0,1,0
0,1,1443,6,37.61112572,-3.2635263,6,5,6,1,1,8,1,2000,3,3,5,0,1,0,0,1
0,6,1256,6,37.06168837,-3.19198926,6,5,6,1,1,5,1,2002,3,4,5,0,0,0,0,0
0,6,0,6,36.1083125,-5.79099991,6,8,2,0,1,0,1,2004,8,4,3,0,1,0,1,0
50,6,180,6,38.36355454,-6.63610419,6,8,14,150,0,6,1,2004,6,3,6,0,0,1,0,0
0,6,1546,6,36.61869946,-3.29300336,6,5,0,200,1,2,1,2000,9,4,3,0,3,1,2,1
0,2,0,6,33.85434473,-9.63851993,6,1,10,0,1,0,1,1994,3,4,3,0,2,0,0,1
0,6,0,1,35.85837259,-4.6479063,6,0,2,0,1,0,0,2004,3,4,5,0,0,0,0,0
0,1,1348,1,30.6133054,-3.89456056,6,3,5,230,1,0,0,2002,8,4,0,0,3,0,1,1
25,6,710,1,37.42002692,-3.47684942,6,5,6,50,1,5,1,2008,14,4,6,0,0,0,0,0
500,6,1803,6,34.81457364,-9.03250291,6,6,3,250,1,4,1,2011,3,4,5,0,0,0,0,0
0,6,0,6,33.34526033,-3.83899753,6,0,17,0,1,4,1,1994,17,4,2,0,0,0,0,1
1500,6,2169,1,34.44128349,-9.18987766,6,6,3,20,1,0,1,2007,3,4,4,0,0,0,0,0
20,6,783,6,37.37285829,-3.34929238,6,5,6,10,1,7,1,2008,3,3,6,0,1,0,0,0
0,6,1545,1,32.04683486,-8.57166114,6,2,15,200,1,0,1,1973,3,4,3,0,2,1,0,1
0,6,0,6,33.95816322,-9.44812238,6,1,10,0,1,0,1,2004,3,4,3,0,0,0,0,0
0,6,0,6,30.98302258,-1.68065404,6,4,4,0,1,2,1,2004,3,3,3,0,2,1,0,0
20,6,766,6,37.34816881,-3.35653763,6,5,6,1,1,7,1,2008,3,3,6,0,1,0,0,1
6,6,962,1,37.47943592,-3.36819761,6,5,6,45,1,5,1,2008,3,4,6,0,0,0,0,0
0,6,1583,6,36.72112734,-3.33981163,2,5,0,150,1,0,1,2009,3,4,3,0,0,0,0,1
0,6,1703,6,35.56134607,-3.80687858,6,0,8,456,1,4,1,2000,8,4,3,0,0,0,1,0
0,6,190,1,38.78943655,-5.11324963,6,5,20,200,1,0,0,1999,3,4,3,0,3,0,0,0
0,1,1670,1,38.37667127,-4.647289499999999,6,5,20,1,1,0,1,1992,9,4,3,0,0,0,2,1
